id,label,url,hosting_mode,platform,platform_domain,brand,real_domain,page_type,phishing_strategy,form_action,form_action_type,page_brand_domain_mismatch,form_action_brand_domain_mismatch,has_domain_mismatch,has_password_field,hidden_fields_count,attacker_domain,attacker_domain_label,attacker_tld,attacker_strategy,tld_risk_score,urgency_score,fear_score,credential_keyword_score,visible_text,parsed_forms,brand_in_text,form_method,url_entropy,url_digit_ratio,url_letter_ratio,url_num_dots,url_num_slashes,url_num_hyphens,url_num_equals,url_num_question,url_num_ampersand,url_num_percent,url_num_double_slash,url_num_sensitive_words,url_has_at_symbol,html_num_eval_calls,html_num_unescape_calls,html_has_right_click_disabled,sfh_is_empty,sfh_is_about_blank,html_has_favicon,html_num_hidden_inputs,urgency_text_injected,authority_text_injected,fear_text_injected,reward_text_injected,document_fields_injected,filename,content_hash,file_size_bytes,annotation_requires_visual_analysis,annotation_visible_text_location,annotation_visual_modality,authority_score,body_visible_text,brand_domain_known,document_title,document_upload_score,html_embedded_raster_bytes,html_empty_submit_button_count,html_has_full_viewport_image,html_has_fullscreen_form_layer,html_has_object_fit_cover_or_fill,html_has_raster_form_overlay_pattern,html_has_transparent_form_controls,html_max_z_index,html_num_absolute_position_rules,html_num_canvas,html_num_embedded_raster_images,html_num_fixed_position_rules,html_num_forms,html_num_images,html_num_password_inputs,html_num_svg,injected_text,primary_raster_asset_path,raster_asset_paths,raster_text_ground_truth,resolved_real_domain,reward_score,url_path
phish_0000,1,https://identity.github.io/new,third_party,github_io,github.io,Facebook,facebook.com,login,credential_harvest,https://account.github.io/,same_platform_cross_origin,True,True,True,True,2,,,,,0.006,0.0,0.278,0.741,"Facebook - Sign In Facebook Log in to Facebook Email address or phone number Password Sign In Forgot password? · Create account Meta Platforms, Inc., 1 Hacker Way, Menlo Park, CA 94025","[{""action"": ""https://account.github.io/"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""email"", ""id"": ""email""}, {""type"": ""password"", ""name"": ""pass"", ""id"": ""pass""}, {""type"": ""hidden"", ""name"": ""context"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""continue"", ""id"": """"}]}]","[""facebook""]",post,3.8281,0.0,0.8,2,3,0,0,0,0,0,0,0,False,0,0,False,False,False,False,2,False,False,False,False,False,github_io_facebook_0000.html,28c66fc47d533d0096776bcb705a1e63c40700d2c6f6729d39ef1d656f2bdd30,3380,,,,0.0,"Facebook Log in to Facebook Email address or phone number Password Sign In Forgot password? · Create account Meta Platforms, Inc., 1 Hacker Way, Menlo Park, CA 94025",True,Facebook - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,facebook.com,0.0,/new
phish_0001,1,https://portalauthsecurityhub.vercel.app/account/identity,third_party,vercel_app,vercel.app,Microsoft,login.microsoftonline.com,login,screenshot_overlay,https://check-secure-verify.vercel.app/login/new/verify/security,same_platform_cross_origin,True,True,True,True,3,,,,,0.012,0.0,0.0,1.0,Microsoft | Login,"[{""action"": ""https://check-secure-verify.vercel.app/login/new/verify/security"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""field_1"", ""id"": """"}, {""type"": ""password"", ""name"": ""field_2"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""ts"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""session_id"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""_next"", ""id"": """"}]}]","[""microsoft""]",post,4.1089,0.0,0.8772,2,4,0,0,0,0,0,0,2,False,0,0,False,False,False,False,3,False,False,False,False,False,vercel_app_microsoft_0001.html,2f5eff8006c2aceccb01cfe544e3a38e99e8d0b70eb2e49a31eea83accd8a06a,33668,True,image_pixels,raster_image_overlay,0.0,,True,Microsoft | Login,0.0,23059,1,True,True,True,True,True,11,2,0,1,2,1,1,1,0,,raster_assets/phish_0001_embedded_00.png,"[""raster_assets/phish_0001_embedded_00.png""]","Microsoft Microsoft Sign in to your Microsoft account Email, phone, or Skype Password Sign In Forgot password? Create account Microsoft Corporation, Redmond, WA 98052",login.microsoftonline.com,0.0,/account/identity
phish_0002,1,https://microsoft.sk/identity,first_party,,,Microsoft,login.microsoftonline.com,login,urgency,https://microsoft.sk/account-auth-sso,same_origin,,,,True,2,microsoft.sk,microsoft,sk,tld_swap,0.001,0.196,0.278,0.741,"Microsoft - Sign In Unusual sign-in activity detected on your account. Confirm within 1 hour to prevent lockout. Microsoft Sign in to your Microsoft account Email, phone, or Skype Password Sign In Forgot password? · Create account Microsoft Corporation, Redmond, WA 98052","[{""action"": ""https://microsoft.sk/account-auth-sso"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""loginfmt"", ""id"": ""i0116""}, {""type"": ""password"", ""name"": ""passwd"", ""id"": ""i0118""}, {""type"": ""hidden"", ""name"": ""ref"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""continue"", ""id"": """"}]}]","[""microsoft""]",post,3.8968,0.0,0.8276,1,3,0,0,0,0,0,0,0,False,0,0,False,False,False,False,2,True,False,False,False,False,attacker_microsoft_sk_microsoft_0002.html,190b58829396b389b434dd690f3e7aa0548315ec9f11c81fc1eb7abff9260004,3658,,,,0.0,"Unusual sign-in activity detected on your account. Confirm within 1 hour to prevent lockout. Microsoft Sign in to your Microsoft account Email, phone, or Skype Password Sign In Forgot password? · Create account Microsoft Corporation, Redmond, WA 98052",False,Microsoft - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,Unusual sign-in activity detected on your account. Confirm within 1 hour to prevent lockout.,,[],,,0.0,/identity
phish_0003,1,https://verifyportal.notion.site/auth-verify,third_party,notion_site,notion.site,Netflix,netflix.com,login,document_phish,https://service-account.notion.site/sso,same_platform_cross_origin,True,True,True,True,1,,,,,0.026,0.0,0.0,1.0,"Netflix - Sign In Netflix Sign In Email or phone number Password Full Legal Name ID / SSN Last 4 Digits Upload ID Document Sign In Forgot password? · Create account Netflix, Inc. 100 Winchester Circle, Los Gatos, CA 95032","[{""action"": ""https://service-account.notion.site/sso"", ""method"": ""post"", ""inputs"": [{""type"": ""email"", ""name"": ""email"", ""id"": ""id_email""}, {""type"": ""password"", ""name"": ""password"", ""id"": ""id_password""}, {""type"": ""hidden"", ""name"": ""session_id"", ""id"": """"}, {""type"": ""text"", ""name"": ""full_name"", ""id"": ""full_name""}, {""type"": ""text"", ""name"": ""id_number"", ""id"": ""id_number""}, {""type"": ""file"", ""name"": ""doc_upload"", ""id"": ""doc_upload""}]}]","[""netflix""]",post,4.0838,0.0,0.8409,2,3,1,0,0,0,0,0,2,False,0,0,False,False,False,False,1,False,False,False,False,True,notion_site_netflix_0003.html,1aee223268285f9bf7cc6d8ba52c8eef04ddfd588bb01ab5c0649603985f8cfd,3879,,,,0.0,"Netflix Sign In Email or phone number Password Full Legal Name ID / SSN Last 4 Digits Upload ID Document Sign In Forgot password? · Create account Netflix, Inc. 100 Winchester Circle, Los Gatos, CA 95032",True,Netflix - Sign In,1.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,netflix.com,0.0,/auth-verify
phish_0004,1,https://securitysecure.pages.dev/,third_party,pages_dev,pages.dev,Amazon,amazon.com,login,credential_harvest,https://portal-hub-auth.pages.dev/ssoauthorizeidentitylogin,same_platform_cross_origin,True,True,True,True,1,,,,,0.005,0.0,0.0,0.741,"Amazon - Sign In Amazon Sign in to your Amazon account Email or phone number Password Sign In Forgot password? · Create account Amazon.com, Inc., 410 Terry Ave. North, Seattle, WA 98109","[{""action"": ""https://portal-hub-auth.pages.dev/ssoauthorizeidentitylogin"", ""method"": ""post"", ""inputs"": [{""type"": ""email"", ""name"": ""email"", ""id"": ""ap_email""}, {""type"": ""password"", ""name"": ""password"", ""id"": ""ap_password""}, {""type"": ""hidden"", ""name"": ""context"", ""id"": """"}]}]","[""amazon""]",post,3.859,0.0,0.8182,2,3,0,0,0,0,0,0,1,False,0,0,False,False,False,False,1,False,False,False,False,False,pages_dev_amazon_0004.html,241658e224d90d18fec010f8fffce9ff7dfca79a8b8adfb51f4f26072b0d9c43,3355,,,,0.0,"Amazon Sign in to your Amazon account Email or phone number Password Sign In Forgot password? · Create account Amazon.com, Inc., 410 Terry Ave. North, Seattle, WA 98109",True,Amazon - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,amazon.com,0.0,/
phish_0005,1,https://drropbox.today/sessionsecuritynew,first_party,,,Dropbox,dropbox.com,login,credential_harvest,https://drropbox.today/verify-session-security-account,same_origin,True,True,True,True,4,drropbox.today,drropbox,today,typosquat,0.027,0.0,0.0,0.741,"Dropbox - Sign In Dropbox Sign in to Dropbox Email Password Sign In Forgot password? · Create account Dropbox, Inc. 1800 Owens St. San Francisco, CA 94158","[{""action"": ""https://drropbox.today/verify-session-security-account"", ""method"": ""post"", ""inputs"": [{""type"": ""email"", ""name"": ""login_email"", ""id"": ""login_email""}, {""type"": ""password"", ""name"": ""login_password"", ""id"": ""login_password""}, {""type"": ""hidden"", ""name"": ""ref"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""flow_id"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""session_id"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""continue"", ""id"": """"}]}]","[""dropbox""]",post,4.0923,0.0,0.878,1,3,0,0,0,0,0,0,0,False,0,0,False,False,False,False,4,False,False,False,False,False,attacker_drropbox_today_dropbox_0005.html,48680b4befee30f1de4e30a0e2c51266b3e7888e15d62422bc66dbbe50dc1be9,3570,,,,0.0,"Dropbox Sign in to Dropbox Email Password Sign In Forgot password? · Create account Dropbox, Inc. 1800 Owens St. San Francisco, CA 94158",True,Dropbox - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,dropbox.com,0.0,/sessionsecuritynew
phish_0006,1,https://serviceaccount.github.io/session-identity-account-sso,third_party,github_io,github.io,Netflix,netflix.com,login,reward,https://center.github.io/login/identity/sso/session,same_platform_cross_origin,True,True,True,True,4,,,,,0.006,0.0,0.0,0.741,"Netflix - Sign In Congratulations! You've been selected for a $500 gift card. Sign in to claim your reward. Netflix Sign In Email or phone number Password Sign In Forgot password? · Create account Netflix, Inc. 100 Winchester Circle, Los Gatos, CA 95032","[{""action"": ""https://center.github.io/login/identity/sso/session"", ""method"": ""post"", ""inputs"": [{""type"": ""email"", ""name"": ""email"", ""id"": ""id_email""}, {""type"": ""password"", ""name"": ""password"", ""id"": ""id_password""}, {""type"": ""hidden"", ""name"": ""continue"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""ref"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""source"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""_next"", ""id"": """"}]}]","[""netflix""]",post,4.057,0.0,0.8525,2,3,3,0,0,0,0,0,2,False,0,0,False,False,False,False,4,False,False,False,True,False,github_io_netflix_0006.html,287f7ffd03c77734a4c0ceb8aaa88562aebfde0745ca62fb581dcd6e8067b58f,3787,,,,0.0,"Congratulations! You've been selected for a $500 gift card. Sign in to claim your reward. Netflix Sign In Email or phone number Password Sign In Forgot password? · Create account Netflix, Inc. 100 Winchester Circle, Los Gatos, CA 95032",True,Netflix - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,Congratulations! You've been selected for a $500 gift card. Sign in to claim your reward.,,[],,netflix.com,1.0,/session-identity-account-sso
phish_0007,1,https://authnow.vercel.app/signin,third_party,vercel_app,vercel.app,Google,accounts.google.com,login,credential_harvest,https://now-login-center.vercel.app/identity/login,same_platform_cross_origin,True,True,True,True,2,,,,,0.012,0.0,0.0,0.741,"Google - Sign In Google Sign in to your Google Account Email or phone Enter your password Sign In Forgot password? · Create account Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043","[{""action"": ""https://now-login-center.vercel.app/identity/login"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""identifier"", ""id"": ""identifierId""}, {""type"": ""password"", ""name"": ""Passwd"", ""id"": ""password""}, {""type"": ""hidden"", ""name"": ""ref"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""flow_id"", ""id"": """"}]}]","[""google""]",post,4.1044,0.0,0.8182,2,3,0,0,0,0,0,0,2,False,0,0,False,False,False,False,2,False,False,False,False,False,vercel_app_google_0007.html,5890eaf1bfb626419561da95bef3d7b66dc52aa3d0245578c07dad5f049f1343,3448,,,,0.0,"Google Sign in to your Google Account Email or phone Enter your password Sign In Forgot password? · Create account Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043",True,Google - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,accounts.google.com,0.0,/signin
phish_0008,1,https://portal-auth.netlify.app/auth,third_party,netlify_app,netlify.app,Apple,apple.com,login,fear,https://nowssosecureverify.netlify.app/session-authorize-login,same_platform_cross_origin,True,True,True,True,3,,,,,0.012,0.0,0.278,0.741,"Apple - Sign In Critical: Your account will be permanently deleted in 48 hours if not verified. Apple Sign in with your Apple ID Email or Phone Number Password Sign In Forgot password? · Create account Apple Inc. One Apple Park Way, Cupertino, CA 95014","[{""action"": ""https://nowssosecureverify.netlify.app/session-authorize-login"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""account_name_text"", ""id"": ""account_name_text_field""}, {""type"": ""password"", ""name"": ""password_text"", ""id"": ""password_text_field""}, {""type"": ""hidden"", ""name"": ""flow_id"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""_next"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""continue"", ""id"": """"}]}]","[""apple""]",post,3.8638,0.0,0.8056,2,3,1,0,0,0,0,0,1,False,0,0,False,False,False,False,3,False,False,True,False,False,netlify_app_apple_0008.html,4a31b7ed5468de44127ea543c3eca6d7583daf985e1d7f0ecd76a30e2ce10d03,3802,,,,0.0,"Critical: Your account will be permanently deleted in 48 hours if not verified. Apple Sign in with your Apple ID Email or Phone Number Password Sign In Forgot password? · Create account Apple Inc. One Apple Park Way, Cupertino, CA 95014",True,Apple - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,Critical: Your account will be permanently deleted in 48 hours if not verified.,,[],,apple.com,0.0,/auth
phish_0009,1,https://portalaccountnowlogin.firebaseapp.com/session-security,third_party,firebase_app,firebaseapp.com,Microsoft,login.microsoftonline.com,login,credential_harvest,https://secure-safe-portal.firebaseapp.com/identity/verify/auth,same_platform_cross_origin,,,,True,4,,,,,0.007,0.0,0.0,0.741,"Microsoft - Sign In Microsoft Sign in to your Microsoft account Email, phone, or Skype Password Sign In Forgot password? · Create account Microsoft Corporation, Redmond, WA 98052","[{""action"": ""https://secure-safe-portal.firebaseapp.com/identity/verify/auth"", ""method"": ""post"", ""inputs"": [{""type"": ""text"", ""name"": ""loginfmt"", ""id"": ""i0116""}, {""type"": ""password"", ""name"": ""passwd"", ""id"": ""i0118""}, {""type"": ""hidden"", ""name"": ""source"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""session_id"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""_next"", ""id"": """"}, {""type"": ""hidden"", ""name"": ""ts"", ""id"": """"}]}]","[""microsoft""]",post,4.2423,0.0,0.8871,2,3,1,0,0,0,0,0,2,False,0,0,False,False,False,False,4,False,False,False,False,False,firebase_app_microsoft_0009.html,a79c53d5ec79783c7a6b77c388c8edb4f8e3a5df035a7302e7e96561b75b1b90,3527,,,,0.0,"Microsoft Sign in to your Microsoft account Email, phone, or Skype Password Sign In Forgot password? · Create account Microsoft Corporation, Redmond, WA 98052",False,Microsoft - Sign In,0.0,0,0,False,False,False,False,False,0,0,0,0,0,1,0,1,0,,,[],,,0.0,/session-security
